stnId,tm,avgTa,minTa,maxTa,sumRn,maxWs,avgWs,ddMes
108,2018-09-11,21.6,16.8,26.1,0.0,2.4,1.5,0.0
108,2018-09-12,22.8,16.8,28.2,0.0,3.2,1.4,0.0
108,2018-09-13,23.5,20.3,28.3,0.0,2.4,1.2,0.0
108,2018-09-14,23.5,20.3,26.8,0.5,2.6,1.3,0.0
108,2018-09-15,23.3,21.0,26.0,0.2,2.4,1.0,0.0
108,2018-09-16,22.2,21.0,23.9,2.0,3.7,1.7,0.0
108,2018-09-17,22.3,18.5,27.7,0.1,3.8,1.9,0.0
108,2018-09-18,22.0,17.7,26.5,0.0,3.4,1.2,0.0
108,2018-09-19,22.1,18.9,26.6,0.2,2.9,1.0,0.0
108,2018-09-20,19.0,17.8,20.1,5.0,2.9,1.8,0.0
108,2018-09-21,19.4,17.6,21.9,18.0,2.3,1.3,0.0
108,2018-09-22,20.8,17.2,25.5,6.5,5.3,1.8,0.0
108,2018-09-23,19.4,15.6,25.3,0.0,4.3,1.6,0.0
108,2018-09-24,17.6,14.2,22.1,0.0,4.4,2.1,0.0
108,2018-09-25,17.8,10.8,24.3,0.0,2.2,1.1,0.0
108,2018-09-26,19.4,16.2,24.8,0.0,2.7,1.7,0.0
108,2018-09-27,18.9,13.2,25.0,0.0,2.4,1.3,0.0
108,2018-09-28,17.5,14.3,22.2,0.0,2.1,1.2,0.0
108,2018-09-29,20.2,14.6,27.0,0.0,2.4,1.0,0.0
108,2018-09-30,17.6,14.0,21.6,0.0,5.5,2.3,0.0
108,2018-10-01,15.4,13.0,19.7,0.0,6.1,2.9,0.0
108,2018-10-02,15.9,10.3,22.0,0.0,4.1,1.6,0.0
108,2018-10-03,17.3,11.2,24.2,0.0,4.0,1.3,0.0
108,2018-10-04,19.3,13.0,25.6,0.0,2.4,1.3,0.0
108,2018-10-05,16.9,15.7,19.0,36.5,3.2,1.7,0.0
108,2018-10-06,18.0,16.3,21.7,55.5,5.3,2.2,0.0
108,2018-10-07,16.4,12.3,21.1,0.0,3.6,1.7,0.0
108,2018-10-08,14.8,9.2,20.9,0.0,2.7,1.1,0.0
108,2018-10-09,15.3,10.7,19.8,0.0,2.7,1.1,0.0
108,2018-10-10,12.0,7.9,16.7,7.0,4.7,2.5,0.0
108,2018-10-11,9.7,6.1,13.9,0.0,5.6,2.1,0.0
108,2018-10-12,10.9,5.2,17.4,0.0,3.2,1.3,0.0
108,2018-10-13,12.5,6.1,19.8,0.0,2.9,1.0,0.0
108,2018-10-14,13.2,6.8,20.3,0.0,3.1,1.5,0.0
108,2018-10-15,15.2,10.9,21.0,0.0,3.5,1.4,0.0
108,2018-10-16,14.5,9.9,20.3,0.0,3.0,1.3,0.0
108,2018-10-17,12.4,8.4,18.6,0.0,3.6,1.3,0.0
108,2018-10-18,12.7,7.5,19.0,0.0,2.7,1.1,0.0
108,2018-10-19,13.1,7.2,20.4,0.0,3.8,1.4,0.0
108,2018-10-20,13.4,6.9,21.4,0.0,3.0,1.2,0.0
108,2018-10-21,13.4,7.2,21.1,0.0,2.9,1.1,0.0
108,2018-10-22,14.0,8.8,20.6,0.0,2.6,1.0,0.0
108,2018-10-23,12.2,9.8,16.9,5.0,5.0,1.1,0.0
108,2018-10-24,12.5,7.6,18.7,0.0,3.4,1.3,0.0
108,2018-10-25,13.8,7.0,21.2,0.0,1.6,0.9,0.0
108,2018-10-26,12.2,9.9,14.7,11.0,5.4,1.6,0.0
108,2018-10-27,8.7,6.2,11.6,0.0,5.8,3.2,0.0
108,2018-10-28,8.3,5.2,13.5,5.5,5.9,1.5,0.0
108,2018-10-29,7.2,3.4,11.7,0.0,5.3,2.0,0.0
108,2018-10-30,6.1,0.7,11.6,0.0,3.5,1.6,0.0
108,2018-10-31,7.4,3.0,12.6,0.0,4.1,1.6,0.0
108,2018-11-01,8.4,2.5,15.2,0.0,3.6,1.3,0.0
108,2018-11-02,10.6,4.0,19.0,0.0,2.5,1.1,0.0
108,2018-11-03,11.2,5.0,19.1,0.0,4.0,1.3,0.0
108,2018-11-04,11.6,5.3,19.4,0.0,3.4,1.3,0.0
108,2018-11-05,11.9,6.6,18.3,0.0,2.3,1.1,0.0
108,2018-11-06,12.2,8.0,17.5,0.0,2.6,0.9,0.0
108,2018-11-07,12.8,10.3,15.7,2.0,2.8,1.1,0.0
108,2018-11-08,11.8,10.5,14.7,64.0,5.0,1.8,0.0
108,2018-11-09,12.1,9.5,15.4,1.0,5.6,3.1,0.0
108,2018-11-10,11.9,8.8,17.1,0.0,3.3,1.4,0.0
108,2018-11-11,8.1,5.4,10.9,0.0,3.7,1.1,0.0
108,2018-11-12,8.1,3.1,15.1,0.0,3.3,1.2,0.0
108,2018-11-13,8.8,4.1,15.4,0.0,3.0,1.1,0.0
108,2018-11-14,9.8,4.8,16.6,0.0,3.1,1.1,0.0
108,2018-11-15,9.7,4.7,16.2,0.0,2.4,1.0,0.0
108,2018-11-16,8.8,4.2,14.5,0.0,4.0,1.7,0.0
108,2018-11-17,4.9,0.6,11.4,0.0,3.7,1.4,0.0
108,2018-11-18,6.1,1.9,10.7,0.0,3.1,1.1,0.0
108,2018-11-19,6.5,3.3,11.3,0.0,4.4,1.4,0.0
108,2018-11-20,6.5,0.0,12.7,0.2,4.2,1.8,0.0
108,2018-11-21,5.8,3.1,8.2,1.0,4.5,1.2,0.0
108,2018-11-22,2.3,-1.3,7.1,0.0,5.6,2.4,0.0
108,2018-11-23,1.9,-3.1,7.6,0.0,3.7,1.4,0.0
108,2018-11-24,2.6,0.3,3.8,10.9,3.3,1.8,8.8
108,2018-11-25,4.8,1.3,9.8,0.0,1.9,1.0,3.0
108,2018-11-26,6.3,1.6,13.6,0.0,1.9,1.0,0.3
108,2018-11-27,7.1,3.1,12.5,0.0,3.7,1.5,0.0
108,2018-11-28,5.0,2.1,11.1,0.0,3.7,1.6,0.0
108,2018-11-29,3.5,0.6,6.7,0.0,3.3,1.3,0.0
108,2018-11-30,2.7,-1.5,8.0,0.0,3.3,1.4,0.0
108,2018-12-01,5.5,0.8,12.4,0.0,2.5,1.0,0.0
108,2018-12-02,8.2,2.8,11.8,0.0,2.2,1.3,0.0
108,2018-12-03,11.5,9.3,13.5,9.5,3.2,1.4,0.0
108,2018-12-04,6.7,-0.3,11.8,5.0,5.6,2.7,0.0
108,2018-12-05,0.0,-4.3,3.4,0.0,4.0,1.5,0.0
108,2018-12-06,2.4,-1.0,6.8,0.0,5.7,2.3,0.0
108,2018-12-07,-7.3,-9.6,-1.1,0.0,5.9,3.8,0.0
108,2018-12-08,-8.3,-11.4,-4.4,0.0,5.5,2.6,0.0
108,2018-12-09,-7.2,-11.8,-2.1,0.0,3.4,1.5,0.0
108,2018-12-10,-2.5,-8.1,4.6,0.0,2.9,0.9,0.0
108,2018-12-11,0.2,-2.4,2.9,0.0,3.9,1.2,0.0
108,2018-12-12,-1.9,-5.0,2.4,0.0,4.0,2.2,0.0
108,2018-12-13,-2.2,-5.9,2.1,1.3,5.8,2.0,1.7
108,2018-12-14,-4.4,-7.8,0.6,0.0,3.5,1.7,0.0
108,2018-12-15,-2.4,-7.8,3.2,0.0,2.1,1.0,0.0
108,2018-12-16,0.0,-2.6,2.1,0.3,1.7,0.9,0.4
108,2018-12-17,1.6,-1.5,5.9,0.3,4.3,1.8,0.0
108,2018-12-18,2.6,-2.8,7.4,0.0,4.1,1.4,0.0
108,2018-12-19,4.0,1.3,9.5,0.0,3.3,1.4,0.0
108,2018-12-20,3.4,-1.1,10.4,0.0,2.4,0.9,0.0
108,2018-12-21,5.6,0.4,9.8,0.0,2.6,1.1,0.0
108,2018-12-22,6.9,2.9,12.4,0.0,3.6,1.5,0.0
108,2018-12-23,2.4,-3.4,7.5,0.0,5.7,2.9,0.0
108,2018-12-24,-2.3,-5.9,3.1,0.0,3.6,1.6,0.0
108,2018-12-25,0.6,-4.0,5.2,0.0,2.7,1.2,0.0
108,2018-12-26,-1.5,-7.1,3.0,0.0,4.5,2.8,0.0
108,2018-12-27,-10.1,-12.5,-6.5,0.0,5.8,3.5,0.0
108,2018-12-28,-10.5,-14.4,-6.6,0.0,4.4,2.5,0.0
108,2018-12-29,-7.6,-10.5,-3.0,0.0,5.5,2.9,0.0
108,2018-12-30,-6.8,-11.3,-0.9,0.0,3.1,1.2,0.0
108,2018-12-31,-5.4,-10.5,-0.5,0.0,3.4,1.2,0.0
108,2019-01-01,-5.0,-8.2,-0.6,0.0,4.3,2.1,0.0
108,2019-01-02,-4.9,-8.8,0.2,0.0,3.6,1.7,0.0
108,2019-01-03,-3.5,-8.4,3.2,0.0,2.9,1.4,0.0
108,2019-01-04,-1.1,-6.2,4.1,0.0,3.0,1.2,0.0
108,2019-01-05,-2.8,-5.5,1.1,0.0,4.3,2.2,0.0
108,2019-01-06,-2.8,-6.3,2.7,0.0,3.2,1.2,0.0
108,2019-01-07,-1.9,-6.2,3.1,0.0,4.7,1.4,0.0
108,2019-01-08,-3.5,-7.2,0.5,0.0,6.5,2.6,0.0
108,2019-01-09,-4.7,-9.4,1.3,0.0,3.5,1.3,0.0
108,2019-01-10,-0.6,-4.5,3.0,0.0,3.8,1.3,0.0
108,2019-01-11,2.4,-0.4,7.2,0.0,2.6,1.0,0.0
108,2019-01-12,2.8,-0.6,8.0,0.0,3.5,1.3,0.0
108,2019-01-13,1.2,-3.0,7.6,0.0,3.2,1.4,0.0
108,2019-01-14,1.4,-2.4,5.3,0.0,2.5,0.9,0.0
108,2019-01-15,-1.7,-7.2,2.6,0.0,6.1,2.7,0.0
108,2019-01-16,-5.2,-10.1,-1.1,0.0,4.3,2.3,0.0
108,2019-01-17,-0.3,-3.2,4.0,0.0,5.0,1.7,0.0
108,2019-01-18,0.6,-4.6,6.7,0.0,4.5,1.3,0.0
108,2019-01-19,3.6,0.0,8.5,0.0,3.0,1.2,0.0
108,2019-01-20,-1.4,-5.5,4.0,0.0,5.5,3.2,0.0
108,2019-01-21,-1.2,-6.7,4.2,0.0,4.3,1.6,0.0
108,2019-01-22,1.7,-3.3,7.1,0.0,4.4,1.7,0.0
108,2019-01-23,2.0,-0.8,7.0,0.0,5.1,2.3,0.0
108,2019-01-24,0.1,-4.6,6.5,0.0,3.5,1.7,0.0
108,2019-01-25,-1.2,-3.8,2.6,0.0,5.5,2.6,0.0
108,2019-01-26,-2.5,-6.5,2.4,0.0,4.4,2.4,0.0
108,2019-01-27,-0.1,-6.6,5.1,0.0,3.7,1.7,0.0
108,2019-01-28,1.2,-2.4,4.5,0.0,6.8,3.1,0.0
108,2019-01-29,-0.2,-5.6,7.0,0.0,3.7,1.5,0.0
108,2019-01-30,1.8,-2.8,6.6,0.0,3.8,1.5,0.0
108,2019-01-31,-2.0,-6.2,2.3,0.0,4.7,2.9,0.0
108,2019-02-01,-2.1,-7.4,2.8,0.3,4.9,1.7,0.2
108,2019-02-02,1.4,-3.2,6.1,0.0,1.8,1.0,0.2
108,2019-02-03,3.3,2.0,4.9,16.0,4.0,1.7,0.0
108,2019-02-04,-0.6,-3.3,3.0,0.0,4.9,2.1,0.0
108,2019-02-05,2.8,-3.6,10.1,0.0,2.9,1.0,0.0
108,2019-02-06,5.1,0.1,9.3,0.0,3.1,1.3,0.0
108,2019-02-07,-2.1,-8.2,6.3,0.5,5.5,3.5,0.0
108,2019-02-08,-6.1,-10.2,-1.3,0.0,4.7,2.3,0.0
108,2019-02-09,-5.4,-8.6,-1.9,0.0,4.9,2.7,0.0
108,2019-02-10,-5.0,-9.1,-1.9,0.0,3.6,1.7,0.0
108,2019-02-11,-3.0,-7.5,2.0,0.0,4.9,2.3,0.0
108,2019-02-12,-0.6,-4.1,3.7,0.0,4.3,1.9,0.0
108,2019-02-13,-2.1,-5.7,2.5,0.0,5.1,2.4,0.0
108,2019-02-14,-0.5,-5.9,6.3,0.0,3.2,1.4,0.0
108,2019-02-15,-0.8,-2.9,0.9,2.2,4.0,1.9,2.4
108,2019-02-16,-2.7,-5.1,1.5,0.2,4.6,2.6,0.7
108,2019-02-17,-1.8,-6.8,4.6,0.0,4.2,1.9,0.0
108,2019-02-18,0.9,-4.7,5.9,0.0,2.8,1.3,0.0
108,2019-02-19,1.4,0.2,3.0,4.6,3.9,1.4,3.3
108,2019-02-20,1.7,-0.1,4.5,0.0,4.1,2.1,0.4
108,2019-02-21,2.4,-2.6,9.0,0.0,3.4,1.5,0.0
108,2019-02-22,4.0,-1.6,10.8,0.0,3.7,1.5,0.0
108,2019-02-23,6.8,0.5,14.5,0.0,2.9,1.1,0.0
108,2019-02-24,6.3,1.2,13.7,0.0,4.9,1.8,0.0
108,2019-02-25,4.7,1.3,10.2,0.0,4.8,2.3,0.0
108,2019-02-26,5.2,-1.5,12.0,0.0,4.9,1.6,0.0
108,2019-02-27,7.8,4.7,14.0,0.0,4.3,1.6,0.0
108,2019-02-28,6.6,2.0,12.8,0.0,4.7,2.0,0.0
108,2019-03-01,6.6,1.2,13.0,0.0,4.4,2.1,0.0
108,2019-03-02,7.8,1.3,14.7,0.0,3.3,1.1,0.0
108,2019-03-03,9.4,2.5,16.1,0.0,3.3,1.5,0.0
108,2019-03-04,9.9,5.0,16.3,0.0,4.7,1.9,0.0
108,2019-03-05,8.4,5.6,12.9,0.0,3.9,2.0,0.0
108,2019-03-06,8.4,5.7,12.4,0.0,4.3,2.0,0.0
108,2019-03-07,7.0,3.1,12.7,0.0,5.1,2.2,0.0
108,2019-03-08,6.1,0.6,13.4,0.0,4.2,1.9,0.0
108,2019-03-09,7.2,-0.4,14.9,0.0,3.0,1.3,0.0
108,2019-03-10,10.1,6.7,15.3,0.0,2.9,1.2,0.0
108,2019-03-11,6.6,3.5,10.0,0.0,4.3,1.8,0.0
108,2019-03-12,3.9,-0.3,7.9,0.0,6.0,2.7,0.0
108,2019-03-13,3.5,-0.4,8.5,0.0,7.2,3.3,0.0
108,2019-03-14,5.0,-1.7,10.0,0.0,3.8,1.9,0.0
108,2019-03-15,5.5,1.6,11.3,3.5,5.4,1.6,0.0
108,2019-03-16,4.3,0.2,9.2,0.0,5.1,1.8,0.0
108,2019-03-17,6.3,2.6,12.4,0.0,4.4,2.0,0.0
108,2019-03-18,7.1,1.4,14.4,0.0,4.7,1.4,0.0
108,2019-03-19,10.0,3.4,16.7,0.0,3.3,1.4,0.0
108,2019-03-20,10.3,7.1,14.6,16.5,3.9,1.4,0.0
108,2019-03-21,7.1,1.9,11.1,3.3,5.5,2.9,0.0
108,2019-03-22,3.3,-0.7,8.3,0.0,5.0,2.8,0.0
108,2019-03-23,3.3,-0.4,8.2,1.7,6.3,2.4,0.0
108,2019-03-24,4.3,-0.8,9.7,0.0,4.9,2.3,0.0
108,2019-03-25,7.3,2.9,11.5,0.0,5.1,2.0,0.0
108,2019-03-26,11.4,7.4,17.6,0.0,4.7,2.0,0.0
108,2019-03-27,11.6,8.9,16.2,0.0,6.4,3.0,0.0
108,2019-03-28,9.4,5.6,14.6,0.0,4.8,2.6,0.0
108,2019-03-29,9.2,5.5,15.1,0.0,4.7,2.1,0.0
108,2019-03-30,5.2,3.5,8.4,1.8,6.3,2.9,0.0
108,2019-03-31,4.4,2.6,8.4,0.0,5.5,3.2,0.0
108,2019-04-01,5.5,0.3,11.3,0.0,5.8,2.5,0.0
108,2019-04-02,6.7,1.3,13.0,0.0,6.1,2.2,0.0
108,2019-04-03,7.6,1.9,13.6,0.0,5.0,2.3,0.0
108,2019-04-04,9.2,3.0,15.7,0.0,5.0,2.5,0.0
108,2019-04-05,11.4,7.0,17.2,0.0,5.4,2.9,0.0
108,2019-04-06,9.3,5.9,12.2,0.8,2.8,1.1,0.0
108,2019-04-07,12.6,5.6,20.3,0.0,4.8,1.7,0.0
108,2019-04-08,11.6,7.6,17.2,0.0,5.2,2.5,0.0
108,2019-04-09,9.2,4.7,13.9,17.4,4.4,2.4,0.0
108,2019-04-10,7.1,4.7,10.2,5.6,3.1,1.8,0.0
108,2019-04-11,9.5,4.3,15.7,0.0,4.7,1.9,0.0
108,2019-04-12,11.4,5.5,18.4,0.0,5.1,2.2,0.0
108,2019-04-13,11.8,6.2,17.9,0.0,5.0,1.8,0.0
108,2019-04-14,9.6,6.9,13.6,1.7,7.3,2.2,0.0
108,2019-04-15,11.6,3.9,18.1,0.0,4.7,1.8,0.0
108,2019-04-16,14.9,6.8,22.6,0.0,4.1,1.6,0.0
108,2019-04-17,15.3,9.1,21.8,0.0,4.9,1.9,0.0
108,2019-04-18,12.6,10.4,16.2,0.0,5.3,2.0,0.0
108,2019-04-19,13.8,9.6,19.7,0.0,3.2,1.6,0.0
108,2019-04-20,14.3,9.7,19.1,1.2,4.5,1.9,0.0
108,2019-04-21,14.8,12.2,20.2,0.3,4.2,1.9,0.0
108,2019-04-22,19.3,10.7,28.2,0.0,4.2,1.4,0.0
108,2019-04-23,20.4,15.3,25.5,0.0,3.8,1.3,0.0
108,2019-04-24,19.5,15.8,25.9,4.1,4.5,1.6,0.0
108,2019-04-25,13.2,9.4,17.2,11.3,3.6,2.0,0.0
108,2019-04-26,8.4,6.2,9.9,4.9,3.5,1.5,0.0
108,2019-04-27,11.6,4.1,18.2,0.0,3.6,1.7,0.0
108,2019-04-28,12.9,9.9,16.6,0.0,3.7,1.6,0.0
108,2019-04-29,13.0,8.3,17.3,0.0,2.0,0.9,0.0
108,2019-04-30,15.5,9.0,22.5,0.0,4.2,1.6,0.0
108,2019-05-01,16.4,11.2,22.2,0.0,4.8,2.3,0.0
108,2019-05-02,17.1,10.6,25.3,0.0,5.1,2.3,0.0
108,2019-05-03,17.9,10.1,26.1,0.0,4.4,1.6,0.0
108,2019-05-04,19.5,12.0,27.4,0.0,4.1,1.7,0.0
108,2019-05-05,19.2,13.6,26.5,0.0,5.3,2.2,0.0
108,2019-05-06,14.5,9.8,19.8,0.0,5.3,3.1,0.0
108,2019-05-07,15.0,8.4,21.9,0.0,5.0,2.3,0.0
108,2019-05-08,15.6,10.1,21.3,0.0,5.1,2.3,0.0
108,2019-05-09,16.6,11.7,22.9,0.0,4.5,2.2,0.0
108,2019-05-10,17.8,10.3,26.8,0.0,4.1,1.9,0.0
108,2019-05-11,20.3,13.2,28.3,0.0,3.9,1.8,0.0
108,2019-05-12,21.6,14.7,28.9,0.0,3.1,1.5,0.0
108,2019-05-13,18.7,15.5,22.8,0.0,4.9,1.6,0.0
108,2019-05-14,19.6,12.9,26.9,0.0,4.1,1.6,0.0
108,2019-05-15,20.7,14.8,28.0,0.0,3.9,1.7,0.0
108,2019-05-16,23.5,16.7,30.0,0.0,4.1,1.5,0.0
108,2019-05-17,23.6,17.6,28.3,0.0,3.2,1.2,0.0
108,2019-05-18,22.8,19.1,25.9,0.0,4.8,2.1,0.0
108,2019-05-19,19.4,17.9,21.6,22.0,2.7,1.2,0.0
108,2019-05-20,16.4,13.0,20.2,8.7,6.1,3.4,0.0
108,2019-05-21,17.2,11.7,23.8,0.0,5.9,2.9,0.0
108,2019-05-22,19.5,12.3,26.5,0.0,5.4,2.4,0.0
108,2019-05-23,22.1,15.0,29.2,0.0,3.5,1.7,0.0
108,2019-05-24,24.2,16.2,33.4,0.0,4.1,1.7,0.0
108,2019-05-25,23.4,18.4,28.6,0.0,4.2,1.6,0.0
108,2019-05-26,24.5,18.6,31.1,0.0,4.5,1.8,0.0
108,2019-05-27,17.8,14.3,22.3,7.1,5.3,2.4,0.0
108,2019-05-28,18.1,11.9,24.6,0.0,4.9,2.6,0.0
108,2019-05-29,20.3,13.3,26.5,0.0,4.9,2.0,0.0
108,2019-05-30,19.6,14.6,24.5,0.0,5.4,2.4,0.0
108,2019-05-31,19.1,16.1,23.3,0.0,5.4,2.8,0.0
108,2019-06-01,18.9,14.8,23.7,0.0,4.2,1.9,0.0
108,2019-06-02,21.1,14.1,27.8,0.0,4.6,1.7,0.0
108,2019-06-03,23.1,16.0,29.5,0.0,5.0,1.8,0.0
108,2019-06-04,22.6,17.6,29.0,0.0,4.4,2.2,0.0
108,2019-06-05,23.0,17.8,29.6,0.0,4.3,1.8,0.0
108,2019-06-06,21.2,18.6,25.1,7.5,4.1,1.2,0.0
108,2019-06-07,20.0,17.0,24.7,35.3,3.5,1.9,0.0
